"SITE","variable","AP13_mean","AP13_se","DAC_mean","DAC_se","VS16_mean","VS16_se","WBC_mean","WBC_se","P-aov","P-oneway"
"MI","B","3.417","0.247","4.12","1.188","3.294","0.431","3.32","0.502","0.764","0.932956538361126"
"MO","B","3.402","0.704","3.196","0.673","3.319","2.247","2.476","0.273","0.769","0.665820444654395"
"TX","B","4.925","0.421","7.211","0.432","6.852","0.537","4.402","0.319","0.000667","0.000497792510448894"
"MI","Na","50.503","3.48","8.671","1.641","12.714","4.977","47.892","6.147","8.05e-09","4.12257910759094e-10"
"MO","Na","160.832","7.527","11.865","1.43","10.083","1.305","59.685","7.239","2.13e-13","8.99072423553328e-09"
"TX","Na","122.868","12.365","35.46","5.036","65.561","14.275","124.885","15.271","0.002","9.92510840826015e-07"
"MI","Mg","1367.203","49.962","1010.984","73.203","1059.157","50.175","1685.851","112.446","8.62e-07","1.86416035752155e-05"
"MO","Mg","856.885","25.468","767.227","47.402","783.625","49.945","1496.682","116.575","2.34e-07","0.0174831222005019"
"TX","Mg","948.726","55.141","1333.271","101.03","1154.153","42.368","1026.784","51.569","0.005","0.0182083943705984"
"MI","Al","48.786","2.462","69.193","14.382","59.734","5.042","49.204","3.266","0.068","0.184517486622493"
"MO","Al","102.167","10.24","95.784","30.358","77.555","10.512","84.231","5.996","0.593","0.518690835497809"
"TX","Al","68.357","5.201","100.476","16.743","77.545","7.448","56.923","4.699","0.008","0.0655904588808008"
"MI","P","295.572","10.266","390.728","21.107","385.678","17.633","441.154","23.735","5.36e-07","1.37976826477744e-05"
"MO","P","615.039","41.097","377.964","42.54","345.597","5.454","851.433","38.876","5.6e-06","4.01993884282219e-07"
"TX","P","316.241","11.961","758.205","53.07","649.618","41.084","300.478","15.835","2.96e-17","4.06810018483367e-06"
"MI","K","72580.894","3741.328","46183.917","1711.451","31615.313","3023.853","66643","12666.493","5.45e-05","5.45657603229199e-07"
"MO","K","54865.219","5417.008","44609.233","11478.399","24142.881","8031.834","83190.049","10819.511","0.014","0.0419090998938046"
"TX","K","54414.051","5221.029","59727.998","13856.439","39166.932","5242.082","67526.644","7066.961","0.046","0.0524533827459355"
"MI","Ca","1613.905","47.766","2045.977","101.572","1163.353","47.854","1453.837","123.459","2.06e-06","1.67191078026211e-07"
"MO","Ca","1444.716","47.17","1394.923","79.688","1101.198","24.448","1735.853","154.669","0.052","0.000194319393465136"
"TX","Ca","2946.873","148.876","5292.75","362.417","3952.919","155.687","2168.446","82.451","1.9e-13","8.84989422077478e-07"
"MI","Mn","47.297","2.141","52.217","3.876","53.392","3.758","33.605","2.882","6.07e-05","0.000935906649787394"
"MO","Mn","67.042","3.741","70.895","7.877","101.447","24.055","76.523","7.952","0.185","0.578252928300719"
"TX","Mn","25.558","1.489","39.848","3.613","38.857","3.17","14.212","1.221","6.45e-11","9.78042782712279e-06"
"MI","Fe","32.332","1.211","41.702","3.582","34.268","1.837","30.199","1.448","0.001","0.0457702748719249"
"MO","Fe","39.641","2.4","83.055","52.692","32.401","1.775","45.761","6.237","0.152","0.106937836411788"
"TX","Fe","51.502","2.75","78.421","12.886","50.779","6.998","44.089","4.489","0.011","0.16617603035954"
"MI","Co","0.029","0.002","0.066","0.016","0.046","0.007","0.026","0.004","0.000655","0.0356475653169286"
"MO","Co","0.219","0.057","0.321","0.186","0.145","0.025","0.168","0.036","0.674","0.605936794048024"
"TX","Co","0.082","0.008","0.149","0.047","0.189","0.122","0.11","0.033","0.529","0.447578038729539"
"MI","Cu","3.223","0.144","5.333","0.261","4.919","0.125","3.332","0.164","1.51e-12","2.69781835119418e-09"
"MO","Cu","8.715","0.538","12.848","4.019","8.03","0.291","9.919","0.836","0.165","0.198487874531346"
"TX","Cu","4.205","0.229","6.152","0.727","4.141","0.403","5.094","0.378","0.014","0.0728979618667299"
"MI","Zn","7.51","0.934","7.537","0.406","11.391","2.796","8.136","1.636","0.33","0.607986248622136"
"MO","Zn","22.432","3.802","11.363","0.912","11.58","0.898","28.504","10.996","0.635","0.0754350554551297"
"TX","Zn","49.339","13.966","110.91","86.947","15.749","2.458","18.849","1.185","0.036","0.148856208573939"
"MI","As","0.01","0.001","0.019","0.004","0.012","0.001","0.011","0.001","0.06","0.138412114136107"
"MO","As","0.016","0.003","0.022","0.017","0.043","NaN","0.022","0.003","0.06","0.138412114136107"
"TX","As","0.011","0.001","0.017","0.005","0.012","0.001","0.01","0.001","0.06","0.138412114136107"
"MI","Se","0.01","0.004","0.012","0.004","0.007","0.002","0.011","0.003","0.06","0.138412114136107"
"MO","Se","0.042","0.003","0.05","0.017","0.029","NaN","0.032","0.005","0.06","0.138412114136107"
"TX","Se","0.044","0.004","0.048","0.01","0.038","0.006","0.043","0.004","0.06","0.138412114136107"
"MI","Rb","1.509","0.084","0.966","0.112","0.728","0.07","3.026","0.284","6.71e-12","1.64021179292674e-08"
"MO","Rb","2.923","0.162","1.245","0.129","0.94","0.036","3.719","0.222","3.34e-07","3.88805681364837e-08"
"TX","Rb","1.565","0.123","1.5","0.305","1.451","0.21","2.079","0.203","0.068","0.195119687466383"
"MI","Sr","3.831","0.14","5.834","0.977","3.258","0.201","3.709","0.333","0.001","0.0418235396491395"
"MO","Sr","9.093","0.575","8.81","0.768","6.27","0.221","9.684","0.899","0.433","0.00108789325639843"
"TX","Sr","6.362","0.263","8.866","0.287","9.502","0.482","5.601","0.231","1.51e-10","6.71804436867167e-07"
"MI","Mo","0.046","0.002","0.039","0.003","0.051","0.003","0.041","0.003","0.053","0.0603251358548999"
"MO","Mo","0.087","0.004","0.056","0.005","0.053","0.015","0.122","0.009","2.03e-05","0.0142626419729395"
"TX","Mo","0.092","0.011","0.044","0.005","0.053","0.007","0.117","0.018","0.012","0.000431111897453627"
"MI","Cd","0.016","0.001","0.022","0.002","0.012","0.001","0.013","0.002","0.002","0.00266974650130237"
"MO","Cd","0.03","0.011","0.028","0.01","0.015","0.006","0.017","0.002","0.763","0.614211256509625"
"TX","Cd","0.002","0","0.003","0","0.002","0","0.002","0","0.004","0.0216222760797321"
