TRAIT,LOD,CHR,pos_low,pos_high,Al,Ca,Cd,Cu,Fe,K,Mg,Mn,Mo,Na,P,Rb,Sr,Zn
Al,3.710886502,5K,10.384768,29.714568,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Al,8.723848735,7K,46.620604,49.229533,1,1,0,0,1,0,0,1,0,0,0,0,1,1
Al,6.388090307,9K,50.343283,59.610088,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ca,4.539289644,9K,1.411669,7.768468,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Ca,10.42481571,9K,62.951257,66.817387,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Cd,55.07093468,2K,14.579029,20.557882,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Cu,4.422186101,4K,4.765272,13.041487,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cu,22.70967748,7K,35.812207,42.907807,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Fe,3.789928072,4N,4.359745,12.617209,1,0,0,0,1,1,1,0,0,0,0,0,0,0
K,5.365657951,2N,41.036788,52.128118,0,0,0,0,0,1,0,0,0,0,0,0,0,0
K,5.586376378,8K,8.319997,30.217699,0,1,0,0,0,1,0,0,0,0,1,0,0,0
K,5.270810831,9N,57.398869,69.901948,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mg,6.353672033,1N,57.704725,63.878545,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mg,6.126307813,2K,1.973728,5.826736,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mg,4.956620062,2K,57.24019,65.441197,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mg,3.949287897,3N,1.207954,6.612355,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mg,4.180676553,5N,48.894679,55.87129,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mg,4.176635317,7N,40.419001,45.931942,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mn,9.099510423,2N,1.087102,6.630499,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Mn,4.713862768,3N,14.206591,23.096017,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Na,36.8637185,5N,24.852745,29.58464,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P,4.304427512,1K,3.37762,9.52066,0,0,0,1,0,1,0,0,0,0,1,0,0,0
P,5.905372623,1K,49.327867,55.295623,0,0,0,1,0,0,0,0,0,0,1,0,0,0
P,8.427066633,2N,59.589757,66.616426,0,0,1,0,0,0,0,0,0,0,1,1,0,0
P,10.97770683,3K,5.431132,12.516769,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P,6.081705243,3K,59.445577,62.002423,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P,7.720763748,4K,1.847328,4.765272,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P,3.967221478,4K,33.40999,45.560112,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P,13.58715122,5K,38.385172,53.154955,0,0,0,0,0,0,0,0,1,1,1,0,0,0
P,4.862499233,5N,1.464967,4.933063,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P,3.564543662,9N,2.370466,18.617122,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Rb,6.835452467,1K,16.071535,28.760266,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rb,4.243460304,5K,58.488157,60.232411,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rb,4.327369317,7N,21.662925,37.391059,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Rb,4.091101757,8N,3.180385,13.167118,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sr,4.749293615,5K,4.388419,13.398535,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Sr,9.343129125,8K,46.664101,53.831953,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sr,6.788020206,9K,12.232945,16.740595,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sr,4.947592127,9N,23.737375,38.476459,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Zn,6.40980137,2N,10.727803,21.063401,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Zn,4.373490437,3K,16.068781,22.359079,0,0,0,1,0,0,1,0,0,0,0,0,0,1
